sku,title,author_or_publisher,price,stock
9789766460013,100 Practice Exercises In Comprehension,,3500.0,0
9789768184108,1st Lesson in Map Reading for the Bahamas,,1895.0,0
9789766102457,1st Lesson in Map Reading for the Caribbean,,1895.0,0
9789769611351,500+ Practice Questions for CSEC Exams Information Technology,Howard Campbell/ Nutcracker,1200.0,0
9768202130,A Beginners Phonics Workbook,Margaret E. Clarke,1395.0,0
9789768010926,A Beginners Phonics Workbook Part 2,Margaret E. Clarke,1395.0,0
9789768245656,A Boy Named Ossie - School Edition,Dr. Earl McKenzie,2195.0,1
9781398307759,A Brighter Sun,Samuel Selvon,3640.0,1
97697681885945,A Complete Language Arts Course for GSAT,,4200.0,0
9789768185204,A Comprehensive English Course Book 2 Revised Edition,Uriel Narinesingh,5500.0,1
9789768245830,A Country Boy: More Ossie Stories,Earl McKenzie,2195.0,1
9780230733435,A Cow Called Boy,C. Everald Palmer,3602.0,7
978-0-00-830151-4,A Explorar Activity 2,,2100.0,0
978-0-00-830154-5,A Explorar Activity 3,,2100.0,0
978-0-00-830147-7,A Explorar Estudiante 1,,4200.0,0
978-0-00-830150-7,A Explorar Estudiante 2,,4200.0,0
978-0-00-830153-8,A Explorar Estudiante 3,Collins,4200.0,0
978-0-00-830149-1,A Explorar Profesor 1,Collins,5675.0,0
978-0-00-830152-1,A Explorar Profesor 2,,5675.0,0
978-0-00-830155-2,A Explorar Profesor 3,,5675.0,0
9789768192066,A Little Child Shall Lead Them,Joyce M. Linton,500.0,2
9780582028036,A Post-Emancipation History of the West Indies,Isaac Dookahn,4000.0,1
9789768246431,A Pre-School Colouring Book Funtime Revised Edition,,750.0,1
9789769590687,"A Process of Learning Vocabulary, Spelling and Reading Skills Level 3",Vidya Maharaj,2400.0,15
9789769590694,"A Process of Learning Vocabulary, Spelling and Reading Skills Level 4",Vidya Maharaj,2000.0,20
9789766250073,A Step by Step Guide to Better Biological Diagrams,,1295.0,1
9780008142452,A Volar Foundation Pupil Book,Collins,2105.0,1
9780008136284,A Volar Pupil Book 1,Collins,2472.0,6
9780008136314,A Volar Pupil Book 2,Collins,2472.0,2
9780008136345,A Volar Pupil Book 3,Collins,2689.0,1
9780008136376,A Volar Pupil Book 4,Collins,2666.0,1
9780008136291,A Volar Workbook 1,Collins,2062.0,5
9780008136321,A Volar Workbook 2,Collins,2062.0,8
9780008136352,A Volar Workbook 3,Collins,1960.0,1
9780008136383,A Volar Workbook 4,Collins,1960.0,1
9768028707X,A Workbook for Clothing & Textiles Students,Joan A Davis-Williams,2800.0,5
976802808X,A Workbook for Food & Nutrition Students,Joan A Davis-Williams,2800.0,3
9781510414310,A World of Poetry Third Edition,Hazel Simmons,4550.0,19
9781510414327,A World of Prose Third Edition,Hazel Simmons,4550.0,5
9781398327702,Achieve! Student Book 1,Neville Grant et al,6085.0,1
9781398327719,Achieve! Student Book 2,Neville Grant et al,6085.0,1
9781447931881,Achieve! Student Book 3,Neville Grant et al,6470.0,1
9781447979340,Achieve! Student Book 4,Dr. P. Feraria,8095.0,1
9789814781114,Active English Coursebook 1 Revised Edition,Scholastic,2500.0,0
9789814781121,Active English Coursebook 2 Revised Edition,Scholastic,2500.0,0
9789814781138,Active English Coursebook 3 Revised Edition,Scholastic,2500.0,0
9789814811897,Active English for Success Coursebook 4,Scholastic,2500.0,0
9789814811903,Active English for Success Coursebook 5,Scholastic,2500.0,0
9789814811910,Active English for Success Coursebook 6,Scholastic,2800.0,0
9789810747619,Active English Literature Reader 1,Scholastic,1500.0,0
9789810747640,Active English Literature Reader 2,Scholastic,1500.0,0
9789810747671,Active English Literature Reader 3,Scholastic,1500.0,0
9789810747701,Active English Literature Reader 4,Scholastic,1500.0,0
9789810747732,Active English Literature Reader 5,Scholastic,1500.0,0
9789810747763,Active English Literature Reader 6,Scholastic,1500.0,1
9789814781176,Active English Workbook 1 Revised Edition,Scholastic,1800.0,0
9789814781183,Active English Workbook 2 Revised Edition,Scholastic,1800.0,0
9789814781190,Active English Workbook 3 Revised Edition,Scholastic,1800.0,1
9789814781206,Active English Workbook 4 Revised Edition,Scholastic,1800.0,0
9789814781213,Active English Workbook 5 Revised Edition,Scholastic,1800.0,0
9789814781220,Active English Workbook 6 Revised Edition,Scholastic,1800.0,0
9789766482688,Additional Mathematics A Complete Course for CSEC,Raymond Toolsie,9360.0,1
9789766482558,Additional Mathematics Guide for CSEC Students,Eunice Chee and Gary Woo Chong,8860.0,1
9789766481469,Advanced Proficiency Communication Studies for the Caribbean,Ashmini Motilal,5400.0,1
9789766381653,Adventures: Primary Language Arts Book 1,M. Thomas Powell et al,3200.0,5
9789766382063,Adventures: Primary Language Arts Book 2,M. Thomas Powell et al,3200.0,6
9789766382308,Adventures: Primary Language Arts Book 3,M. Thomas Powell et al,3200.0,3
9789766381929,Adventures: Primary Mathematics Book 1,M. Thomas Powell,3200.0,6
9789766382148,Adventures: Primary Mathematics Book 2,A. McDonald et al,3200.0,7
9789766382162,Adventures: Primary Mathematics Book 3,Michelle Reckford et al,3200.0,6
9789766382261,Adventures: Primary Mathematics Book 4,Conroy Hall,3200.0,4
9781398307360,Agricultural Science Book 1: A Course for secondary schools in the Caribbean: Third Edition,Amrith Barran,4615.0,1
9781398307360,Agricultural Science Book 2: A course for secondary schools in the Caribbean: Third Edition,Amrith Barran et al,4615.0,1
9781398307445,Agricultural Science Book 3: A course for secondary schools in the Caribbean: Third Edition,Amrith Barran,4615.0,1
9789766484583,Agriculture for CSEC: New Edition Revision Course,Sahadeo Ragoonanan,9260.0,1
ALPEST-2072,"Alpha-Zen PEP Standards for Language Arts Practice Grades 4, 5 and 6",Romeo Lee & Dwight Holland,2300.0,0
ALPEST-5047,"Alpha-Zen PEP Standards for Mathematics Practice Grades 4,5 & 6",Romeo Lee & Dwight Holland,2300.0,2
ALPEST-6279,Alpha-Zen PEP Standards for Science Practice Grade 5,Romeo Lee & Dwight Holland,2300.0,1
ALPEST-4208,Alpha-Zen PEP Standards for Social Studies Practice Grades 5,Romeo Lee & Dwight Holland,2300.0,2
